college	trường cao đẳng
comb	cái lược, chải
competition	cuộc thi đấu
concert	buổi hòa nhạc
conversation	cuộc trò chuyện
cooker	bếp (nồi cơm điện)
cookie	bánh quy
corner	góc
costume	trang phục
could	có thể
creature	sinh vật
crown	vương miện
cushion	cái đệm
cut	cắt
cycle	đi xe đạp

dark	tối
date	ngày
David	tên David
dear	thân mến
December	tháng 12
decide	quyết định
deep	sâu
delicious	ngon
desert	sa mạc
design	thiết kế
designer	người thiết kế
diary	nhật ký
dictionary	từ điển
dinosaur	khủng long
disappear	biến mất
drum	trống
during	trong lúc

each	mỗi
eagle	chim đại bàng
early	sớm
Earth	trái đất
east	hướng đông
elbow	khuỷu tay
else	khác
Emma	tên Emma
empty	trống
end	kết thúc
engine	máy, động cơ
engineer	kỹ sư
enormous	rất lớn
enough	đủ
enter	bắt đầu, đi vào
entrance	lối vào
envelope	bao thư

environment	môi trường
everywhere	khắp nơi
excellent	xuất sắc
excited	háo hức
exit	lối ra
expensive	đắt tiền
explain	giải thích
explore	thăm dò
extinct	tuyệt chủng

factory	nhà máy
fall	mùa thu
fall over	té ngã
far	xa
fast	nhanh
February	tháng 2
feel	cảm thấy
festival	lễ hội
fetch	đem về
few	vài
file	hồ sơ
find out	tìm ra
finger	ngón tay
finish	hoàn thành
fire	lửa
fire engine	xe cứu hỏa
fire fighter	nhân viên cứu hỏa
fire station	trạm cứu hỏa
flag	lá cờ
flashlight	đèn pin
flour	bột mì
fog	sương mù
foggy	có sương mù
follow	theo sau
for	cho
forget	quên
fork	cái nĩa
Frank	tên Frank
fridge	tủ lạnh
friendly	thân thiện
frightening	đáng sợ
front	phía trước
full	đầy
fur	lông thú
furry	có lông
future	tương lai

gate	cổng
geography	môn địa lý
George	tên George
get to	đến
